,name,price,discount,review
1, Nirvana Ion ,"Sale price₹2,299",71% off,68
2, Airdopes 131 ,Sale price₹899,70% off,1356
3, Airdopes 131 PRO ,Sale price₹999,67% off,188
4, Airdopes 161 ,Sale price₹999,60% off,169
5, Airdopes 141 ,"Sale price₹1,299",71% off,660
6, Nirvana Ion ANC ,"Sale price₹2,799",72% off,29
7, Airdopes 170 ,"Sale price₹1,499",57% off,34
8,EnergyShroom PB300 ,"Sale price₹1,199",60% off,20
9, Energyshroom PB400 ,"Sale price₹1,899",58% off,24
10, Airdopes 138 ,"Sale price₹1,399",53% off,10
11, Airdopes 148 ,"Sale price₹1,499",67% off,8
12, Airdopes 163 ,"Sale price₹1,499",40% off,103
